case_id,earliness_avg,true_avg_100,true_avg_1000,adaption_rate_avg,adapt_per_ep,costs_avg,cost_per_ep,rewards_avg,reward_per_ep,true_per_ep,position_adaptation_per_ep,case_length_per_ep
3866.0,0.0401998308157994,0.8316831683168316,0.8741258741258742,0.5445544554455446,1,28.88118811881188,41.0,0.3712871287128713,0.0,True,1.0,38.0
3867.0,0.04044377162670259,0.8316831683168316,0.8741258741258742,0.5346534653465347,0,28.475247524752476,0.0,0.3811881188118812,1.0,True,-1.0,19.0
3868.0,0.04044377162670259,0.8316831683168316,0.8741258741258742,0.5346534653465347,0,28.475247524752476,0.0,0.3811881188118812,1.0,True,-1.0,25.0
3869.0,0.040294940588328526,0.8316831683168316,0.8741258741258742,0.5445544554455446,1,28.88118811881188,41.0,0.3712871287128713,0.0,True,1.0,31.0
3870.0,0.04026953825354448,0.8316831683168316,0.8741258741258742,0.5346534653465347,0,28.465346534653467,0.0,0.3811881188118812,1.0,True,-1.0,20.0
3871.0,0.04026953825354448,0.8316831683168316,0.8741258741258742,0.5346534653465347,1,28.465346534653467,42.0,0.3811881188118812,0.0,True,1.0,22.0
3872.0,0.04026953825354448,0.8316831683168316,0.8741258741258742,0.5346534653465347,0,28.465346534653467,0.0,0.3811881188118812,1.0,True,-1.0,19.0
3873.0,0.040028765322153256,0.8316831683168316,0.8751248751248751,0.5445544554455446,1,28.871287128712872,41.0,0.3712871287128713,0.0,True,1.0,37.0
3874.0,0.04051283710795445,0.8415841584158416,0.8751248751248751,0.5346534653465347,0,28.08910891089109,0.0,0.38613861386138615,1.0,True,-1.0,23.0
3875.0,0.04051283710795445,0.8415841584158416,0.8761238761238761,0.5346534653465347,0,28.08910891089109,0.0,0.38613861386138615,1.0,True,-1.0,16.0
3876.0,0.04051283710795445,0.8415841584158416,0.8761238761238761,0.5346534653465347,0,28.08910891089109,0.0,0.38613861386138615,1.0,True,-1.0,21.0
3877.0,0.04029572058910852,0.8415841584158416,0.8761238761238761,0.5445544554455446,1,28.495049504950494,41.0,0.37623762376237624,0.0,True,1.0,35.0
3878.0,0.03988371879779639,0.8514851485148515,0.8771228771228772,0.5445544554455446,1,28.128712871287128,41.0,0.3811881188118812,0.0,True,1.0,29.0
3879.0,0.03988371879779639,0.8514851485148515,0.8771228771228772,0.5445544554455446,0,28.128712871287128,0.0,0.3811881188118812,1.0,True,-1.0,38.0
3880.0,0.03988371879779639,0.8514851485148515,0.8771228771228772,0.5445544554455446,0,28.128712871287128,0.0,0.3811881188118812,1.0,True,-1.0,19.0
3881.0,0.03969638025701484,0.8514851485148515,0.8771228771228772,0.5346534653465347,0,27.712871287128714,0.0,0.3910891089108911,1.0,True,-1.0,68.0
3882.0,0.03945309678822701,0.8514851485148515,0.8781218781218781,0.5445544554455446,1,28.11881188118812,41.0,0.3811881188118812,0.0,True,1.0,38.0
3883.0,0.039708875883545554,0.8613861386138614,0.8781218781218781,0.5346534653465347,0,27.336633663366335,0.0,0.39603960396039606,1.0,True,-1.0,22.0
3884.0,0.03888577291279483,0.8712871287128713,0.8781218781218781,0.5247524752475248,0,26.564356435643564,0.0,0.41089108910891087,1.0,True,-1.0,22.0
3885.0,0.03885153706324376,0.8712871287128713,0.8781218781218781,0.5346534653465347,1,26.97029702970297,41.0,0.400990099009901,0.0,True,2.0,54.0
3886.0,0.03874764635626751,0.8712871287128713,0.8771228771228772,0.5346534653465347,1,26.97029702970297,79.0,0.400990099009901,-0.5,False,1.0,62.0
